calendar_event_id	content_id	gid	key	link_type	parent_key	parent_table	text	topic_id	view_key
	669766983	gid_2016_05_07_nynmlb_sdnmlb_1	0	vpp	0	item			
	669766983	gid_2016_05_07_nynmlb_sdnmlb_1	1	vpp	1	item			
	669766983	gid_2016_05_07_nynmlb_sdnmlb_1	2	vpp	2	item			
