gid	key	parent_key	parent_table	playback-scenario	text
gid_2016_05_07_nynmlb_sdnmlb_1	32	5	media	3GP_H264_550K_320X240	http://mediadownloads.mlb.com/mlbam/hls/2016/05/08/669899083/1462677459066/master_mobile.m3u8
gid_2016_05_07_nynmlb_sdnmlb_1	33	5	media	HTTP_CLOUD_TABLET	http://mediadownloads.mlb.com/mlbam/hls/2016/05/08/669899083/1462677459066/master_tablet.m3u8
gid_2016_05_07_nynmlb_sdnmlb_1	34	5	media	HTTP_CLOUD_TABLET_60	http://mediadownloads.mlb.com/mlbam/hls/2016/05/08/669899083/1462677459066/master_tablet_60.m3u8
gid_2016_05_07_nynmlb_sdnmlb_1	35	5	media	HTTP_CLOUD_WIRED	http://mediadownloads.mlb.com/mlbam/hls/2016/05/08/669899083/1462677459066/master_wired.m3u8
gid_2016_05_07_nynmlb_sdnmlb_1	36	6	media	FLASH_1200K_640X360	http://mediadownloads.mlb.com/mlbam/mp4/2016/05/08/670078983/1462677456306/asset_1200K.mp4
gid_2016_05_07_nynmlb_sdnmlb_1	37	6	media	HTTP_CLOUD_MOBILE	http://mediadownloads.mlb.com/mlbam/hls/2016/05/08/670078983/1462677456529/master_mobile.m3u8
gid_2016_05_07_nynmlb_sdnmlb_1	38	6	media	3GP_H264_550K_320X240	http://mediadownloads.mlb.com/mlbam/hls/2016/05/08/670078983/1462677456529/master_mobile.m3u8
gid_2016_05_07_nynmlb_sdnmlb_1	39	6	media	HTTP_CLOUD_TABLET	http://mediadownloads.mlb.com/mlbam/hls/2016/05/08/670078983/1462677456529/master_tablet.m3u8
gid_2016_05_07_nynmlb_sdnmlb_1	40	6	media	HTTP_CLOUD_TABLET_60	http://mediadownloads.mlb.com/mlbam/hls/2016/05/08/670078983/1462677456529/master_tablet_60.m3u8
gid_2016_05_07_nynmlb_sdnmlb_1	41	6	media	HTTP_CLOUD_WIRED	http://mediadownloads.mlb.com/mlbam/hls/2016/05/08/670078983/1462677456529/master_wired.m3u8
