gid	key	parent_key	parent_table	text
gid_2016_05_07_nynmlb_sdnmlb_1	0	0	home	XEMO 860, XPRS 1090
gid_2016_05_07_nynmlb_sdnmlb_1	1	0	away	710 WOR, ESPN Deportes 1050
