a	ab	ab_risp	bam_avg	bam_obp	bam_ops	bam_slg	bb	bis_avg	bis_obp	bis_ops	bis_slg	d	gid	h	h_risp	hr	key	lob	parent_key	parent_table	po	r	rbi	so	t	t_lob	text
6	35	11	.242	.323	.767	.444	7	.242	.323	.767	.444	4	gid_2016_05_07_nynmlb_sdnmlb_1	9	1	4	0	18	0	team	27	6	6	11	0	9	
8	34	4	.237	.294	.654	.360	1	.237	.294	.654	.360	0	gid_2016_05_07_nynmlb_sdnmlb_1	8	1	1	1	11	1	team	27	3	3	9	0	6	
