bam_era	bb	bf	bis_era	er	gid	h	hr	key	out	parent_key	parent_table	r	so	text
2.78	1	36	2.78	3	gid_2016_05_07_nynmlb_sdnmlb_1	8	1	0	27	0	team	3	9	
4.11	7	42	4.11	6	gid_2016_05_07_nynmlb_sdnmlb_1	9	4	1	27	1	team	6	11	
