gid	key	parent_key	parent_table	text
gid_2016_05_07_nynmlb_sdnmlb_1	0	0	batting	"<b>Bateo</b><br/><b>HR</b>: Jay (1, 3rd entrada ante Colon, B, 2 en base, 1 out).<br/><b>BA</b>: Jay 4; Shields 2; Wallace; Upton Jr. 2; Norris, D 2.<br/><b>CE</b>: Jay 3 (13).<br/><b>Corredores dejados en circulaci&#243;n, 2 out</b>: Jay; Ramirez, Al.<br/><b>SAC</b>: Weeks, J.<br/><b>Equipo con Corredores en Posici&#243;n de Anotar</b>: 
						de 1-4.<br/><b>Equipo con Corredores Dejados en Circulaci&#243;n</b>: 6.<br/><br/><b>Defensa</b><br/><b>DP</b>: (Ramirez, Al-Weeks, J-Myers).<br/><br/>"
gid_2016_05_07_nynmlb_sdnmlb_1	1	1	batting	"<b>Bateo</b><br/><b>2B</b>: Plawecki 2 (2, Shields, Villanueva, Ca); Cabrera, A (7, Shields); Duda (4, Shields).<br/><b>HR</b>: Cespedes (10, 1st entrada ante Shields, 1 en base, 2 out); Colon, B (1, 2nd entrada ante Shields, 1 en base, 2 out); Wright, D (4, 9th entrada ante Villanueva, Ca, 0 en base, 1 out); Conforto (5, 9th entrada ante Villanueva, Ca, 0 en base, 1 out).<br/><b>BA</b>: Duda 2; Wright, D 5; Conforto 4; Colon, B 4; Cabrera, A 2; Plawecki 4; Cespedes 4.<br/><b>CE</b>: Cespedes 2 (29); Colon, B 2 (2); Wright, D (8); Conforto (19).<br/><b>2-out RBI</b>: Cespedes 2; Colon, B 2.<br/><b>Corredores dejados en circulaci&#243;n, 2 out</b>: Duda 2; Colon, B 2; De Aza.<br/><b>RDP</b>: Cespedes.<br/><b>Equipo con Corredores en Posici&#243;n de Anotar</b>: 
						de 1-11.<br/><b>Equipo con Corredores Dejados en Circulaci&#243;n</b>: 9.<br/><br/><b>Corrido de Bases</b><br/><b>BR</b>: Wright, D (3, 2nd base a Hand/Norris, D).<br/><br/>"
