clubURL	fileCode	gid	homepageHeader	key	nextGameTeam	nextGameWhen	parent_key	parent_table	queryID	recipientListID	shopCode	teamName	text	type
padres.com	sd	gid_2016_05_07_nynmlb_sdnmlb_1	sandiego.padres.mlb.com	0	New York Mets	May 8, 2016 01:40 PM PT	0	game	342	25	1452364	San Diego Padres		home
mets.com	nym	gid_2016_05_07_nynmlb_sdnmlb_1	newyork.mets.mlb.com	1	San Diego Padres	May 8, 2016 01:40 PM PT	0	game	282	16	1452359	New York Mets		away
