gid	index	key	parent_key	parent_table	pitcher	text	type
gid_2016_05_07_nynmlb_sdnmlb_1	9	0	0	lineup	453646		home
gid_2016_05_07_nynmlb_sdnmlb_1	7	1	0	lineup	544727		away
