gid	id	key	name	parent_key	parent_table	position	text
gid_2016_05_07_nynmlb_sdnmlb_1	427537	0	Hunter Wendelstedt	0	umpires	HP	
gid_2016_05_07_nynmlb_sdnmlb_1	594151	1	Ramon DeJesus	0	umpires	1B	
gid_2016_05_07_nynmlb_sdnmlb_1	503586	2	Tripp Gibson	0	umpires	2B	
gid_2016_05_07_nynmlb_sdnmlb_1	427299	3	Jerry Layne	0	umpires	3B	
