event	gid	key	parent_key	parent_table	pitcher_id	pitcher_name	text
346	gid_2016_05_07_nynmlb_sdnmlb_1	0	9	batter	448306	Shields	
415	gid_2016_05_07_nynmlb_sdnmlb_1	1	10	batter	543272	Hand	
