gid	key	parent_key	parent_table	text
gid_2016_05_07_nynmlb_sdnmlb_1	0	0	event	http://mlb.mlb.com/images/players/mugshot/ph_493316.jpg
gid_2016_05_07_nynmlb_sdnmlb_1	1	1	event	http://mlb.mlb.com/images/players/mugshot/ph_112526.jpg
gid_2016_05_07_nynmlb_sdnmlb_1	2	2	event	http://mlb.mlb.com/images/players/mugshot/ph_445055.jpg
gid_2016_05_07_nynmlb_sdnmlb_1	3	3	event	http://mlb.mlb.com/images/players/mugshot/ph_431151.jpg
gid_2016_05_07_nynmlb_sdnmlb_1	4	4	event	http://mlb.mlb.com/images/players/mugshot/ph_624424.jpg
