gid	key	parent_key	parent_table	text	type	value
gid_2016_05_07_nynmlb_sdnmlb_1	23	5	keywords		subject	MLBCOM_REALTIME_HIGHLIGHT
gid_2016_05_07_nynmlb_sdnmlb_1	24	6	keywords		mmtax	shareable
gid_2016_05_07_nynmlb_sdnmlb_1	25	6	keywords		team_id	135
gid_2016_05_07_nynmlb_sdnmlb_1	26	6	keywords		sv_id	160507_194056
gid_2016_05_07_nynmlb_sdnmlb_1	27	6	keywords		subject	MLBCOM_REALTIME_HIGHLIGHT
gid_2016_05_07_nynmlb_sdnmlb_1	28	7	keywords		team_id	135
gid_2016_05_07_nynmlb_sdnmlb_1	29	7	keywords		mmtax	shareable
gid_2016_05_07_nynmlb_sdnmlb_1	30	7	keywords		subject	MLBCOM_REALTIME_HIGHLIGHT
gid_2016_05_07_nynmlb_sdnmlb_1	31	7	keywords		sv_id	160507_194424
gid_2016_05_07_nynmlb_sdnmlb_1	32	8	keywords		team_id	121
gid_2016_05_07_nynmlb_sdnmlb_1	33	8	keywords		mmtax	shareable
gid_2016_05_07_nynmlb_sdnmlb_1	34	9	keywords		sv_id	160507_202004
gid_2016_05_07_nynmlb_sdnmlb_1	35	9	keywords		team_id	121
gid_2016_05_07_nynmlb_sdnmlb_1	36	9	keywords		mmtax	shareable
gid_2016_05_07_nynmlb_sdnmlb_1	37	9	keywords		subject	MLBCOM_REALTIME_HIGHLIGHT
gid_2016_05_07_nynmlb_sdnmlb_1	38	10	keywords		team_id	121
gid_2016_05_07_nynmlb_sdnmlb_1	39	10	keywords		mmtax	shareable
gid_2016_05_07_nynmlb_sdnmlb_1	40	10	keywords		sv_id	160507_201600
gid_2016_05_07_nynmlb_sdnmlb_1	41	10	keywords		subject	MLBCOM_REALTIME_HIGHLIGHT
gid_2016_05_07_nynmlb_sdnmlb_1	42	11	keywords		sv_id	160507_202114
gid_2016_05_07_nynmlb_sdnmlb_1	43	11	keywords		team_id	121
gid_2016_05_07_nynmlb_sdnmlb_1	44	11	keywords		mmtax	shareable
